Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=143.FM.M.U2.EUR.RT.MM.EURIBOR1MD_.HSTA,
,FM.M.U2.EUR.RT.MM.EURIBOR1MD_.HSTA
,"Euro area (changing composition) - Money Market - Euribor 1-month - Historical close, average of observations through period - Euro, provided by Reuters"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
2020Sep,-0.5217
2020Aug,-0.5173
2020Jul,-0.5088
2020Jun,-0.4929
2020May,-0.4643
2020Apr,-0.4281
2020Mar,-0.4777
2020Feb,-0.4731
2020Jan,-0.4569
2019Dec,-0.4529
2019Nov,-0.45
2019Oct,-0.4555
2019Sep,-0.4482
2019Aug,-0.4096
2019Jul,-0.3951
2019Jun,-0.3848
2019May,-0.369
2019Apr,-0.3673
2019Mar,-0.3675
2019Feb,-0.3677
2019Jan,-0.3664
2018Dec,-0.3671
2018Nov,-0.3688
2018Oct,-0.3697
2018Sep,-0.371
2018Aug,-0.3696
2018Jul,-0.3697
2018Jun,-0.3703
2018May,-0.3708
2018Apr,-0.3716
2018Mar,-0.3706
2018Feb,-0.3696
2018Jan,-0.3688
2017Dec,-0.3687
2017Nov,-0.3716
2017Oct,-0.3723
2017Sep,-0.3721
2017Aug,-0.372
2017Jul,-0.3728
2017Jun,-0.3728
2017May,-0.3732
2017Apr,-0.3724
2017Mar,-0.3724
2017Feb,-0.3718
2017Jan,-0.3713
2016Dec,-0.3704
2016Nov,-0.3728
2016Oct,-0.3714
2016Sep,-0.3714
2016Aug,-0.3697
2016Jul,-0.3688
2016Jun,-0.3559
2016May,-0.348
2016Apr,-0.3412
2016Mar,-0.3076
2016Feb,-0.246
2016Jan,-0.2226
2015Dec,-0.1895
2015Nov,-0.1403
2015Oct,-0.1156
2015Sep,-0.1052
2015Aug,-0.0879
2015Jul,-0.0713
2015Jun,-0.0634
2015May,-0.0494
2015Apr,-0.029
2015Mar,-0.0103
2015Feb,0.0004
2015Jan,0.0051
2014Dec,0.023
2014Nov,0.0097
2014Oct,0.0079
2014Sep,0.0177
2014Aug,0.0855
2014Jul,0.0958
2014Jun,0.1529
2014May,0.2592
2014Apr,0.2525
2014Mar,0.2318
2014Feb,0.2239
2014Jan,0.2242
2013Dec,0.2144
2013Nov,0.132
2013Oct,0.1283
2013Sep,0.1281
2013Aug,0.1278
2013Jul,0.125
2013Jun,0.1206
2013May,0.1123
2013Apr,0.1179
2013Mar,0.1179
2013Feb,0.1203
2013Jan,0.1125
2012Dec,0.1106
2012Nov,0.1085
2012Oct,0.1112
2012Sep,0.1188
2012Aug,0.1316
2012Jul,0.2194
2012Jun,0.38
2012May,0.3938
2012Apr,0.4088
2012Mar,0.4674
2012Feb,0.626
2012Jan,0.8362
2011Dec,1.143
2011Nov,1.2266
2011Oct,1.3635
2011Sep,1.3472
2011Aug,1.3734
2011Jul,1.4218
2011Jun,1.279
2011May,1.2434
2011Apr,1.1271
2011Mar,0.9031
2011Feb,0.8937
2011Jan,0.7928
2010Dec,0.8107
2010Nov,0.8339
2010Oct,0.7842
2010Sep,0.6181
2010Aug,0.64
2010Jul,0.5833
2010Jun,0.4464
2010May,0.423
2010Apr,0.4047
2010Mar,0.4062
2010Feb,0.4214
2010Jan,0.437
2009Dec,0.478
2009Nov,0.4352
2009Oct,0.4297
2009Sep,0.4551
2009Aug,0.508
2009Jul,0.6097
2009Jun,0.9134
2009May,0.8844
2009Apr,1.012
2009Mar,1.2691
2009Feb,1.6283
2009Jan,2.1418
2008Dec,2.9929
2008Nov,3.8433
2008Oct,4.8313
2008Sep,4.6599
2008Aug,4.4875
2008Jul,4.4716
2008Jun,4.4724
2008May,4.3874
2008Apr,4.3691
2008Mar,4.3046
2008Feb,4.1821
2008Jan,4.1973
2007Dec,4.7114
2007Nov,4.216
2007Oct,4.2355
2007Sep,4.4339
2007Aug,4.3081
2007Jul,4.105
2007Jun,4.0982
2007May,3.9194
2007Apr,3.859
2007Mar,3.8439
2007Feb,3.6511
2007Jan,3.6159
2006Dec,3.64
2006Nov,3.4214
2006Oct,3.3501
2006Sep,3.1572
2006Aug,3.0941
2006Jul,2.9389
2006Jun,2.8691
2006May,2.6926
2006Apr,2.6489
2006Mar,2.6333
2006Feb,2.4586
2006Jan,2.3885
2005Dec,2.4112
2005Nov,2.2225
2005Oct,2.1209
2005Sep,2.1152
2005Aug,2.1126
2005Jul,2.1064
2005Jun,2.1039
2005May,2.1041
2005Apr,2.1047
2005Mar,2.103
2005Feb,2.1039
2005Jan,2.111
2004Dec,2.167
2004Nov,2.1101
2004Oct,2.0862
2004Sep,2.0778
2004Aug,2.077
2004Jul,2.0755
2004Jun,2.0762
2004May,2.061
2004Apr,2.0523
2004Mar,2.0428
2004Feb,2.0606
2004Jan,2.0759
2003Dec,2.1315
2003Nov,2.0867
2003Oct,2.1001
2003Sep,2.126
2003Aug,2.1223
2003Jul,2.1306
2003Jun,2.177
2003May,2.5204
2003Apr,2.5762
2003Mar,2.601
2003Feb,2.7748
2003Jan,2.8548
2002Dec,2.9799
2002Nov,3.2312
2002Oct,3.306
2002Sep,3.3174
2002Aug,3.3328
2002Jul,3.3612
2002Jun,3.3835
2002May,3.374
2002Apr,3.3357
2002Mar,3.3456
2002Feb,3.3363
2002Jan,3.348
2001Dec,3.4182
2001Nov,3.4267
2001Oct,3.7189
2001Sep,4.0508
2001Aug,4.4647
2001Jul,4.5247
2001Jun,4.53
2001May,4.6634
2001Apr,4.7799
2001Mar,4.7761
2001Feb,4.7996
2001Jan,4.8049
2000Dec,4.9483
2000Nov,4.9249
2000Oct,4.854
2000Sep,4.6977
2000Aug,4.5743
2000Jul,4.4077
2000Jun,4.3702
2000May,4.1632
2000Apr,3.7909
2000Mar,3.5892
2000Feb,3.3591
2000Jan,3.1502
1999Dec,3.5094
1999Nov,3.0607
1999Oct,2.7629
1999Sep,2.5835
1999Aug,2.6135
1999Jul,2.6345
1999Jun,2.6055
1999May,2.5661
1999Apr,2.6947
1999Mar,3.0548
1999Feb,3.1264
1999Jan,3.1583
1998Dec,3.44
1998Nov,3.67
1998Oct,3.86
1998Sep,3.96
1998Aug,3.94
1998Jul,3.94
1998Jun,4.02
1998May,4.07
1998Apr,4.12
1998Mar,4.14
1998Feb,4.24
1998Jan,4.25
1997Dec,4.35
1997Nov,4.4
1997Oct,4.39
1997Sep,4.27
1997Aug,4.32
1997Jul,4.29
1997Jun,4.29
1997May,4.3
1997Apr,4.38
1997Mar,4.51
1997Feb,4.48
1997Jan,4.47
1996Dec,4.6
1996Nov,4.59
1996Oct,4.71
1996Sep,4.84
1996Aug,5.07
1996Jul,5.09
1996Jun,5.11
1996May,5.15
1996Apr,5.32
1996Mar,5.5
1996Feb,5.63
1996Jan,5.87
1995Dec,6.38
1995Nov,6.42
1995Oct,6.69
1995Sep,6.48
1995Aug,6.63
1995Jul,6.86
1995Jun,7.05
1995May,7.01
1995Apr,7.14
1995Mar,7.42
1995Feb,6.36
1995Jan,6.37
1994Dec,6.49
1994Nov,6.17
1994Oct,6.14
1994Sep,6.17
1994Aug,6.27
1994Jul,6.26
1994Jun,6.28
1994May,6.32
1994Apr,6.69
1994Mar,6.84
1994Feb,6.99
1994Jan,7.12
